conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Reserva de Madelena,106000,3,2,No,40.0,2,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,175000000.0,Carrera 67 # 57v-09sur,Reserva de Madelena,"Apartamento en venta de 40 m2, con vista exterior, ubicado en un 20avo piso (Torre 6 Apto 2045), acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Paseo Villa del Rio y El Perdomo ; cerca a almacenes de cadena como Éxito, olímpica, Justo & bueno, D1; cerca a colegio Nuevo Chile, Gimnasio Israel, Bilingüe Reino Unido; cerca a universidad Distrital Francisco José de Caldas, Politécnico Gran Colombiano; cerca a estación de Transmilenio Portal Sur, Madalena, Sevillana; Vías de acceso por la Cra 67 y Autopista Sur",ARBORIZADORA
Ciudadela la Libertad 1 ,57000,2,18,Si,47.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,132200000.0,carrera 88C # 67 - 39,Ciudadela la Libertad 1,"Apartamento en venta de 47m2, con vista interior, ubicado en un 1er piso (Torre 9 Apto 105). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de los espacios del inmueble. El conjunto cuenta con salón comunal, zonas verdes, parque infantil, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales como Metro Recreo y Milenio Plaza; cerca a almacenes de cadena como Éxito, Olímpica, Ara y D1; cerca a colegios como Nueva Alianza y Debora Arango Pérez; cerca a universidad Francisco José de Caldas; cerca a paraderos de SITP y rutas alimentadoras de Transmilenio; Vías de acceso por la Carrera 88C y Calle 67 sur.
",BOSA OCCIDENTAL
Parques de Engativa,80000,2,10,Si,52.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,170600000.0,Carrera 116a #70a-76,Parques de Engativa,"Apartamento en venta de 52m2, con vista exterior, ubicado en un 2do piso (Torre 21 Apto 203), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona social, zonas verdes, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Muisca; cerca a supermercados y tiendas de barrio; cerca a colegio Mayor de Engativá; cerca a paraderos del SITP; Cerca a Humedal; Vías de acceso por la carrera 116b y calle 70c.",ENGATIVA
Prados de San Felipe,90000,3,10,Si,51.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,169000000.0,Carrera 128 # 145-20,Prados de San Felipe,"Apartamento en venta de 51m2, con vista interior, ubicado en un 6to piso (Torre 7 Apto 627), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cerámico en baños, cocina y zona social. El conjunto cuenta con salón comunal, zona social, parque infantil, zona verde y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial; cerca a almacenes de cadena Éxito, Jumbo, Olímpica, Tienda D1, Tienda Ara; cerca a colegio Compartir Suba I.E.D. Sede A ; cerca a paraderos del SITP; Vías de acceso por la Diagonal 146 y carrera 128.",TIBABUYES
Los Saucos,132000,3,22,Si,43.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,177700000.0,Carrera 112f # 88 - 06,Los Saucos,"Apartamento en venta de 43 m2, con vista interior, ubicado en un 1er piso (Torre 4 Apto 102). Consta de 2 habitaciones,1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro de Occidente; cerca a almacenes de cadena como Éxito , D1; cerca a colegio Ciudadela Colsubsido, Liceo San Basilio Magno, Santa Angela Merici; cerca a paraderos del Sitp y rutas Alimentadoras; Vías de acceso por la carrera 112f y calle 88",BOLIVIA
Andalucía ,175000,3,16,Si,70.0,3,2,0,1,Apartamento,0,24 hrs,Comunal,Si,Si,249400000.0,Carrera 116 # 77-65,Andalucía,"Apartamento en venta de 65m2, con vista interior, ubicado en un 2do piso (Torre 16 Apto 203). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cerámico en zona social, en baños y cocina. El conjunto cuenta con zonas verdes, zonas para niños, salón comunal, gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro de Occidente y Portal 80; cerca a almacenes de cadena como Carulla y Éxito; cerca a colegio Charry; cerca a estación de Transmilenio Portal 80; Vía de acceso por la Calle 80",GARCES NAVAS
Recreo Reservado 2 ,50000,3,17,Si,40.0,2,1,0,0,casa con conjunto cerrado,0,24 hrs,No Tiene,Si,Si,118900000.0,Carrera 105B # 65-81 Sur,Recreo Reservado 2,"Casa en venta de 40m2, con vista interior, (Casa 170). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cemento en todas sus zonas. El conjunto cuenta con zonas verdes, parque para niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Metro Recreo; cerca a almacenes de cadena como Olímpica, Ara y D1; cerca a colegios Leonardo Posada Pedraza y Alfonso López Michelsen; cerca a paraderos del SITP; Vías de acceso por la Calle 65 Sur y Carrera 105.",TINTAL SUR
Suasia,0,3,31,Si,54.0,3,2,0,0,Apartamento,1,24 hrs,No Tiene,Si,Si,183400000.0,Carrera 86 # 146-61,Suasia,"Apartamento en venta de 58m2, con vista interior, ubicado en un 4to piso (Torre 2 Apto 401), acceso por escaleras. Cuenta con sala comedor, cocina, 3 habitaciones y 2 baños. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con 3 parques infantiles, gimnasio, salón comunal, terraza y vigilancia las 24 horas. Cerca a centro comercial Subazar, centro comercial Centro Suba, centro comercial Acuarela, supermercados de cadena como, D1 y Ara; cerca a la estacón de Transmilenio 21 Angeles.",SUBA
Las Flores 2,86100,3,25,Si,39.0,2,1,0,0,Apartamento,0,24 hrs,Comunal,Si,Si,148600000.0,Carrera 115 #149b-10,Las Flores 2,"Apartamento en venta de 39m2, con vista interior, ubicado en un 6to piso (Torre 12 Apto 604), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona social, parque infantil, salón comunal, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial plaza imperial; cerca a tiendas y supermercados de barrio; cerca a colegio Einsteniano; cerca a paraderos del SITP; Vías de acceso por la calle 151c y carrera 115.",SUBA
Reserva de Fontibón ,132400,3,5,Si,46.0,3,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,177800000.0,Calle 116a # 15c-70,Reserva de Fontibón,"Apartamento en venta de 46 m2, con vista exterior, ubicado en un 3er piso (Torre 3 Apto 304), acceso por ascensor, parqueadero comunitario. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salon comunal, parque infantil, zona social, zona verde y vigilancia privada las 24 horas. Cerca a centro comercial Viva; cerca a almacenes de cadena Exito, Olimpica, drogueria colsubsidio, supermercado Colsubsidio; cerca a colegio Jesus maestro; cerca a paraderos del SITP; Vías de acceso por la calle 13 y carrera 116.",ZONA FRANCA
Prados de San Felipe ,139200,3,10,Si,54.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,188900000.0,Carrera 128 # 145-20,Prados de San Felipe,"Apartamento en venta de 54m2, con vista exterior, ubicado en un 7mo piso (Torre 12 Apto 746), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería.  Tiene piso ceramico en todas sus zonas. El conjunto cuenta con zona verde, salon comunal, zona de niños y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial, San Andresito Suba; cerca a almacenes de cadena como D1, Éxito, Colsubsidio; cerca a colegio Liceo Empresarial del Campo, colegio Don Bosco V; cerca a universidad CUN (Corporación Unificada Nacional), Politécnico grancolombiano; cerca a estación de Transmilenio Portal de suba; Vías de acceso por la diagonal 146 y carrera 128.",TIBABUYES
Tíntala Etapa 2,83000,2,22,Si,42.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,130400000.0,Calle 6a # 88-51,Tíntala Etapa 2,"Apartamento en venta de 42m2, con vista exterior, ubicado en un 5to piso (Torre 22 Apto 502), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El conjunto cuenta con salón comunal, parque infantil, y vigilancia las 24 horas.  Cerca al centro comercial Tintal Plaza, supermercados de cadena como D1, Ara e Isimo; cerca a colegio Gimnasio Moderno San Francisco; cerca a la estación de Transmilenio Biblioteca Tintal. Vías de acceso por la calle 6 y carrera 88.
",CALANDAIMA
Roma Reservado 1,105500,2,5,Si,32.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,110000000.0,Transversal 81 a # 57 g Sur -71,Roma Reservado 1,"Apartamento en venta de 32m2, con vista exterior, ubicado en un 3er piso (Torre 8 Apto 303), acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámica en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, cancha de fútbol, saón comunal, parqueadero comunal, terraza y vigilancia privada las 24 horas. Cerca a centros comerciales como Gran Plaza Bosa y Milenio Plaza; cerca a almacenes de cadena como D1 y Ara; cerca a colegio Débora Arango Pérez y Claretiano; cerca a Universidad Nacional y Uniclaretiana; cerca a rutas alimentadoras y del SITP; Vías de acceso por la Calle 56 Sur y Cra 81 A.",BOSA 61
Prados de San Felipe,170000,3,10,Si,54.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,192700000.0,Carrera 128 # 145-20,Prados de San Felipe,"Apartamento en venta de 54m2, con vista interior, ubicado en un 2do piso (Torre 13 Apto 252 ), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería.  Tiene piso laminado en zona social y habitaciones y piso cerámico en cocina y baños. El conjunto cuenta con zona verde, salón comunal, zona de niños y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial, San Andresito Suba; cerca a almacenes de cadena como D1, Éxito, Colsubsidio; cerca a colegio Liceo Empresarial del Campo, colegio Don Bosco V; cerca a universidad CUN (Corporación Unificada Nacional), Politécnico grancolombiano; cerca a estación de Transmilenio Portal de suba; Vías de acceso por la diagonal 146 y carrera 128.",TIBABUYES
Villa del Rio Reservado,110000,3,4,Si,41.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,178200000.0,Calle 57rsur # 69a -30,Villa del Rio Reservado,"Apartamento en venta de 41m2, con vista exterior, ubicado en un 7mo piso (Torre 3 Apto 702), acceso por ascensor. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en zona social y habitaciones y cerámico en cocina y baño. El conjunto cuenta con zonas verdes, zona para niños, cancha multiple, salón comunal, piscina, gimnasio y vigilancia privada las 24 horas. Cerca a centros comerciales Paseo Villa del Río y Metrosur; cerca a almacenes de cadena como jumbo, Metro y Ara; cerca a colegios Nuevo Chile y Bilingüe Reino Unido ; cerca a universidad ECCI; cerca a estaciones de Transmilenio Perdomo y Madelena; Vías de acceso por la Autopista Sur y Carrera 71b.",APOGEO
Muisca 1 ,95000,2,24,Si,51.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,147200000.0,Carrera 119 #65a-39,Muisca 1,"Apartamento en venta de 51 m2, con vista interior, ubicado en un 4to piso (bloque 2 interior 2 Apto 401). Consta de 3 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, zona social y cerámico en baño y cocina. El conjunto cuenta con vigilancia privada las 24 horas y parque infantil. Cerca a centro comercial Muisca; cerca a tiendas y supermercado de barrio; cerca a colegio Emanuel Rubiano; cerca a paraderos del SITP; Vías de acceso por la calle 64 y carrera 119.",ENGATIVA
Gerona del Cipres,130400,3,4,Si,53.0,3,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,No,163600000.0,Carrera 126 # 20-10,Gerona del Cipres,"Apartamento en venta de 53m2, con vista interior, ubicado en un 18avo piso (Torre 3 Apto 1807), acceso por ascensor. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con 3 salones comunales, parque infantil, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial La Esperanza; cerca a almacenes de cadena como Tiendas D1, Ara; cerca a colegio El Refugio; cerca a paraderos del SITP; Vías de acceso por la calle 17.",FONTIBON SAN PABLO
Gerona del Porvenir 2,130000,2,8,Si,47.0,3,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,135000000.0,Carrera 93b # 34-15Sur,Gerona del Porvenir 2,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 6to piso (Torre 2 Apto 602), acceso por ascensor, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El conjunto cuenta con zona para niños, piscina, cancha múltiple, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Tintal Plaza y Parque Central Primavera; cerca a almacenes de cadena como Éxito, Colsubsidio, Ara y D1; cerca a colegio Cafam Bellavista; cerca a estaciones de Transmilenio Portal de las Américas. Acceso por la Avenida Ciudad de Cali y Avenida Tintal.",CALANDAIMA
Prados de Suba Etapa 2,100000,3,17,Si,50.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,180000000.0,Carrera 102 #155b-03,Prados de Suba Etapa 2,"Apartamento en venta de 50m2, con vista exterior, ubicado en un 2do piso (Torre 8 Apto 203), acceso por escaleras, parqueadero comunitario. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cermiaco en baños, cocina y zona social. El conjunto cuenta con salon comunal, parque infantil, zona BBQ, y vigilancia privada las 24 horas. Cerca a centro comercial plaza imperial; cerca a tiendas y supermercados de barrio; cerca a colegio Nicolás Buenaventura - Sede A ; cerca a paraderos del SITP; Vías de acceso por la avenida calle 153 y carrera 102.",SUBA
Edificio Nueva Roma,40000,3,29,Si,50.0,3,1,0,0,Apartamento,0,No,No Tiene,Si,Si,152600000.0,Calle 55a Sur # 77k-67,Edificio Nueva Roma,"Apartamento en venta de 50m2, con vista interior, ubicado en un 2do piso (Torre 10 Apto 201), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Nueva Roma; cerca a almacenes de cadena Surtimax; cerca a colegio Class Sede B; cerca a universidad Uniagustiniana; cerca a rutas alimentadoras y de SITP; Vías de acceso por la carrera 78 y calle 55 sur.",TIMIZA
Mirador del Jaboque,125300,3,2,Si,46.0,2,1,0,1,Apartamento,1,24 hrs,No Tiene,Si,No,160400000.0,Calle 70a bis #121a-30,Mirador del Jaboque,"Apartamento en venta de 46m2, con vista exterior, ubicado en un 2vo piso (Torre 3 Apto 1202), acceso por ascensor, parqueadero comunitario. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con parque infantil, zona social, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial muisca; cerca a supermercados y tiendas de barrio; cerca a colegio Mayor de Engativá; cerca a paraderos del SITP; Vías de acceso por la carrera 121 y calle 70a bis.",ENGATIVA
Tierra Buena Reservado 2,67000,2,13,Si,42.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,116200000.0,Carrera 98 #2-32,Tierra Buena Reservado 2,"Apartamento en venta de 42m2, con vista exterior, ubicado en un 4to piso (Torre 7 Apto 404), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Parque Central Primavera, Tintal Plaza; cerca a almacenes de cadena como D1, Isimo y Ara; cerca a colegio Distrital Codema, Distrital Los Alpes, Colegio Cafam Bella Vista; cerca a rutas alimentadoras y de SITP; Vías de acceso por la Transversal 97A y Carrera 98.",CALANDAIMA
Reservado De Fontibón ,41001,2,18,Si,38.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,126000000.0,Calle 14B # 119A-17,Reservado De Fontibón,"Apartamento en venta de 38m2, con vista interior, ubicado en un 5to. piso (Torre 9 Apto 504), acceso por escaleras. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en Baños y cocina y piso laminado en alcobas y zonas social. El conjunto cuenta con salón comunal, zonas verdes, zonas para niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Viva; cerca a almacenes de cadena como Metro y D1; cerca a colegios como Antonio Van Uden y Carlo Federici; cerca a rutas alimentadoras y paraderos del SITP; Vías de acceso por la Calle 14B y Carrera 119 A.",ZONA FRANCA
Metro 136,80000,2,31,Si,44.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,99200000.0,Carrera 14 # 136a - 16 sur,Metro 136,"Apartamento en venta de 44m2, con vista interior, ubicado en un 6to piso (Torre 1 Apto 604). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baño y cocina. El conjunto cuenta con salón social, parque infantil y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Surtimax, Tiendas D1 y Ara; cerca a colegio Metro Vivienda, colegio Francisco Antonio Zea y colegio Usme; cerca a universidad Antonio Nariño; cerca a rutas alimentadoras y paraderos del Sitp; Vías de acceso por la Carrera 14 y la Calle 136a Sur.",CIUDAD USME
Urbanización Capri,56500,2,7,Si,41.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,99300000.0,Calle 130bis sur # 14-70,Urbanización Capri,"Apartamento en venta de 41 m2, con vista interior, ubicado en un 2do piso (Torre 12 Apto 203), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zona. El conjunto cuenta con zonas verdes, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Altavista; cerca a almacenes de cadena como Surtimax, D1; cerca a colegios Francisco Antonio Zea, Brazuelos y Los Comuneros Oswaldo Guayasamín; cerca a universidad Antonio Nariño; cerca a paraderos del SITP; Vías de acceso por la Calle 136 A Sur y Carrera 4.",CIUDAD USME
Pinos de Nueva Castilla ,105000,2,17,Si,53.0,2,1,0,0,casa con conjunto cerrado,0,24 hrs,No Tiene,Si,Si,156300000.0,Calle 7 # 90-41,Pinos de Nueva Castilla,"Casa en venta de 53m2, con vista interior, (Casa 227), parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todos sus espacios. El conjunto cuenta con salón social y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza; cerca a tiendas y supermercado de barrio; cerca a colegio gimnasio moderno San Francisco; cerca a paraderos del SITP; Vías de acceso por la Calle 7 y la Carrera 90.",CALANDAIMA
Valle de Sol,79000,2,6,Si,47.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,125700000.0,Calle 85Sur  # 91-91,Valle de Sol,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 5to piso (Torre 7 Apto 5023), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, zona y vigilancia privada las 24 horas. Cerca a centros comerciales Puerto Marino La Libertad y Metro Recreo; cerca a almacenes de cadena como Olímpica, Surtimax, D1 y Ara; cerca a colegios Leonardo Posada Pedraza, Kimy Pernía Domicó y Alfonso López Michelsen; cerca a rutas alimentadoras y paraderos del SITP; Vías de acceso por la Carrera 91 y Calle 85 Sur.",TINTAL SUR
